OBJECTID,LINE_CODE,SE_ANNO_CAD_DATA,LINE_NAME,Shape__Length
1,NC,,North Jersey Coast Line,379366.648207384
2,GL,,Gladstone Branch,267405.523682906
3,NE,,Northeast Corridor,315473.678167181
4,RV,,Raritan Valley Line,293160.315130497
5,ST,,Southern Tier,335489.411287083
6,PRIN,,Princeton Dinky,14371.7326472475
8,SL,,Meadowlands Line,56415.5933555442
9,AC,,Atlantic City Line,357765.762808321
10,BC,,Bergen County Line,160065.755152183
11,PV,,Pascack Valley Line,162368.552795878
12,ML,,Main Line,166010.909418645
13,MC,,Montclair-Boonton Line,358940.573896162
14,ME,,Morristown Line,360271.709480149
